Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation  [sfc];Snowfall amount raw  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2018;01;04;00;00;14.89;20.00;1014.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.89;56.89;13.68;90.00;8.53;117.65;12.60
2018;01;04;01;00;13.51;22.00;1014.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.51;60.52;12.64;109.98;6.41;141.84;12.96
2018;01;04;02;00;12.24;25.00;1014.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.51;60.52;12.48;123.23;5.40;180.00;11.16
2018;01;04;03;00;11.15;27.00;1014.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.18;64.44;13.32;128.42;5.50;211.61;10.80
2018;01;04;04;00;10.16;30.00;1014.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.03;66.50;13.90;126.57;6.92;242.10;8.64
2018;01;04;05;00;9.14;34.00;1014.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.11;71.57;13.83;128.66;8.70;245.56;6.48
2018;01;04;06;00;7.98;38.00;1015.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.26;76.50;13.51;138.24;10.00;239.74;10.44
2018;01;04;07;00;6.71;44.00;1015.60;0.00;0.00;0.00;0.00;0.00;0.00;0.79;0.00;9.11;80.91;13.78;146.73;10.80;233.13;10.44
2018;01;04;08;00;8.18;42.00;1016.30;0.00;0.00;0.00;0.00;0.00;0.00;60.00;89.89;7.95;84.81;14.01;154.09;11.72;227.49;10.44
2018;01;04;09;00;12.59;34.00;1016.40;0.00;0.00;0.00;0.00;0.00;0.00;60.00;288.36;3.60;90.00;13.10;159.08;12.48;223.83;6.12
2018;01;04;10;00;17.96;24.00;1016.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;464.58;7.63;160.71;7.63;160.71;12.74;222.71;8.28
2018;01;04;11;00;22.36;19.00;1015.10;0.00;0.00;0.00;0.00;0.00;0.00;60.00;597.19;6.57;189.46;6.99;191.89;13.00;228.37;7.20
2018;01;04;12;00;25.11;14.00;1014.30;0.00;0.00;0.00;0.00;0.00;0.00;60.00;673.73;8.16;221.42;8.67;221.63;12.82;231.84;9.36
2018;01;04;13;00;25.89;12.00;1013.70;0.00;0.00;0.00;0.00;0.00;0.00;60.00;688.86;10.80;233.13;11.02;231.63;11.38;235.30;10.80
2018;01;04;14;00;26.24;11.00;1012.70;0.00;0.00;0.00;0.00;0.00;0.00;60.00;641.69;10.99;238.39;10.99;238.39;11.44;241.82;11.52
2018;01;04;15;00;26.23;11.00;1011.80;0.00;0.00;0.00;0.00;0.00;0.00;60.00;536.67;10.79;244.29;10.95;242.59;11.44;245.85;11.88
2018;01;04;16;00;25.72;12.00;1011.50;0.00;0.00;0.00;0.00;0.00;0.00;60.00;380.03;10.83;248.55;10.97;246.80;11.63;248.20;12.60
2018;01;04;17;00;23.12;10.00;1012.00;0.00;0.00;0.00;0.00;0.00;0.00;26.40;187.79;8.21;254.74;12.41;253.14;12.57;256.76;13.68
2018;01;04;18;00;21.54;10.00;1012.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.91;9.42;263.42;13.40;263.83;13.68;268.49;13.32
2018;01;04;19;00;20.76;11.00;1012.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.20;270.00;11.88;270.00;12.98;273.18;11.52
2018;01;04;20;00;20.47;11.00;1013.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.32;270.00;8.64;270.00;11.57;275.36;6.84
2018;01;04;21;00;19.52;12.00;1013.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.80;270.00;5.76;270.00;10.85;275.71;5.76
2018;01;04;22;00;19.11;12.00;1013.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;180.00;3.62;264.29;10.82;273.81;3.96
2018;01;04;23;00;19.01;12.00;1013.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.80;90.00;1.84;258.69;10.46;273.95;3.24
2018;01;05;00;00;18.34;13.00;1013.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.98;95.19;0.72;180.00;9.37;272.20;2.88
